title,weeks_as_top_3
THE WOK,1
BETWEEN TWO KINGDOMS,1
BOOK OF NIGHT,1
"MAKE, SEW AND MEND",1
THE BOMBER MAFIA,1
I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,1
WHY A SON NEEDS A DAD,1
THE HOUSE ACROSS THE LAKE,1
THE WORLD NEEDS MORE PURPLE SCHOOLS,1
HATTIE HARMONY: WORRY DETECTIVE,1
DO THE WORK!,1
MAD HONEY,1
EJACULATE RESPONSIBLY,1
THE PASSENGER,1
THE LUMINARIES,1
CURSED,1
I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,1
LILY'S PROMISE,1
PHIL,1
THESE VIOLENT DELIGHTS,1
WRONG PLACE WRONG TIME,1
BORN A CRIME,1
"GIRL, FORGOTTEN",1
A VENOM DARK AND SWEET,1
NOTHING MORE TO TELL,1
DEMON COPPERHEAD,1
THE CRAYONS TRICK OR TREAT,1
THE SCHOOL FOR GOOD AND EVIL,1
THE YEAR WE LEARNED TO FLY,1
THE POWER OF REGRET,1
LOVE FROM THE CRAYONS,1
I MUST BETRAY YOU,1
THIS WOVEN KINGDOM,1
CITY OF THE DEAD,1
THE GIRL WHO FELL BENEATH THE SEA,1
"I'M NOT SCARED, YOU'RE SCARED",1
SO THIS IS EVER AFTER,1
TIME IS A MOTHER,1
PLAYING WITH MYSELF,1
PERFECTLY PEGASUS,1
UNDER THE BANNER OF HEAVEN,1
TOM CLANCY: ZERO HOUR,1
SEARCH FOR TREASURE,1
BABEL,1
HOW TO CATCH A WITCH,1
THE DOOR OF NO RETURN,1
KINGDOM OF THE WICKED,1
FOUL LADY FORTUNE,1
THE WOKS OF LIFE,1
ALL ABOUT ME!,1
THE LANTERN HOUSE,1
NOODLE AND THE NO BONES DAY,1
NOT QUITE NARWHAL,1
RISING TIGER,1
THE CHALLENGE,1
DEFEND THE DAWN,1
BOYS WILL BE HUMAN,1
CON POLLO,1
DEVOTION,1
